Package,Upload,List
dnx-coreclr-win-arm,n,n
Microsoft.AspNet.Html.Abstractions,y,y
Microsoft.AspNet.Mvc.Cors,y,y
Microsoft.AspNet.Mvc.DataAnnotations,y,y
Microsoft.AspNet.Mvc.Formatters.Json,y,y
Microsoft.AspNet.Mvc.Formatters.Xml,y,y
Microsoft.AspNet.Mvc.Localization,y,y
Microsoft.AspNet.Mvc.ViewFeatures,y,y
Microsoft.Framework.Caching.SqlConfig,y,y
Microsoft.Framework.Caching.SqlServer,y,y
Microsoft.Framework.Logging.Debug,y,y
Microsoft.Framework.Notification,y,y
Microsoft.Framework.Runtime.CommandParsing.Sources,y,y
Microsoft.Framework.SecretManager,y,y
Microsoft.Framework.SecurityHelper.Sources,y,y
System.Numerics.Vectors.WindowsRuntime,n,n
Microsoft.Net.Http.Client,n,n
Microsoft.NETCore.Platforms,n,n
Microsoft.NETCore.Targets.DNXCore,n,n
Microsoft.NETCore.Targets.NETFramework,n,n
Microsoft.NETCore.Targets.UniversalWindowsPlatform,n,n
System.Collections.Immutable,n,n
System.Reflection.Metadata,n,n
System.Threading.Tasks.Dataflow,n,n
CoreCLR,n,n
CultureInfoGenerator,n,n
dnx.clr.managed,n,n
dnx.coreclr.managed,n,n
dnx.host,n,n
dnx-clr-win-x64,y,y
dnx-clr-win-x86,y,y
dnx-coreclr-darwin-x64,n,n
dnx-coreclr-linux-x64,n,n
dnx-coreclr-win-x64,y,y
dnx-coreclr-win-x86,y,y
dnx-mono,y,y
EntityFramework.Commands,y,y
EntityFramework.Core,y,y
EntityFramework.Core.FunctionalTests,n,n
EntityFramework.InMemory,y,y
EntityFramework.Relational,y,y
EntityFramework.Relational.Design,y,y
EntityFramework.Relational.FunctionalTests,n,n
EntityFramework.Sqlite,n,n
EntityFramework.SqlServer,y,y
EntityFramework.SqlServer.Design,y,y
Kestrel,y,y
KoreBuild,n,n
Microsoft.AspNet.Antiforgery,y,y
Microsoft.AspNet.Authentication,y,y
Microsoft.AspNet.Authentication.Cookies,y,y
Microsoft.AspNet.Authentication.Facebook,y,y
Microsoft.AspNet.Authentication.Google,y,y
Microsoft.AspNet.Authentication.MicrosoftAccount,y,y
Microsoft.AspNet.Authentication.OAuth,y,y
Microsoft.AspNet.Authentication.OAuthBearer,y,y
Microsoft.AspNet.Authentication.OpenIdConnect,y,y
Microsoft.AspNet.Authentication.Twitter,y,y
Microsoft.AspNet.Authorization,y,y
Microsoft.AspNet.Cors,y,y
Microsoft.AspNet.Cors.Core,y,y
Microsoft.AspNet.Cryptography.Internal,y,y
Microsoft.AspNet.Cryptography.KeyDerivation,y,y
Microsoft.AspNet.DataProtection,y,y
Microsoft.AspNet.DataProtection.Abstractions,y,y
Microsoft.AspNet.DataProtection.Extensions,y,y
Microsoft.AspNet.DataProtection.Sources,n,n
Microsoft.AspNet.DataProtection.SystemWeb,y,y
Microsoft.AspNet.Diagnostics,y,y
Microsoft.AspNet.Diagnostics.Abstractions,y,y
Microsoft.AspNet.Diagnostics.Elm,y,y
Microsoft.AspNet.Diagnostics.Entity,y,y
Microsoft.AspNet.FeatureModel,y,y
Microsoft.AspNet.FileProviders.Abstractions,y,y
Microsoft.AspNet.FileProviders.Embedded,y,y
Microsoft.AspNet.FileProviders.Physical,y,y
Microsoft.AspNet.FileProviders.Sources,n,n
Microsoft.AspNet.Hosting,y,y
Microsoft.AspNet.Hosting.Abstractions,y,y
Microsoft.AspNet.Hosting.Server.Abstractions,y,y
Microsoft.AspNet.Http,y,y
Microsoft.AspNet.Http.Abstractions,y,y
Microsoft.AspNet.Http.Extensions,y,y
Microsoft.AspNet.Http.Features,y,y
Microsoft.AspNet.Identity,y,y
Microsoft.AspNet.Identity.EntityFramework,y,y
Microsoft.AspNet.JsonPatch,y,y
Microsoft.AspNet.Loader.IIS,y,y
Microsoft.AspNet.Loader.IIS.Interop,y,y
Microsoft.AspNet.Localization,y,y
Microsoft.AspNet.Mvc,y,y
Microsoft.AspNet.Mvc.Abstractions,y,y
Microsoft.AspNet.Mvc.ApiExplorer,y,y
Microsoft.AspNet.Mvc.Core,y,y
Microsoft.AspNet.Mvc.Razor,y,y
Microsoft.AspNet.Mvc.Razor.Host,y,y
Microsoft.AspNet.Mvc.TagHelpers,y,y
Microsoft.AspNet.Mvc.WebApiCompatShim,y,y
Microsoft.AspNet.Owin,y,y
Microsoft.AspNet.PageExecutionInstrumentation.Interfaces,y,y
Microsoft.AspNet.Razor,y,y
Microsoft.AspNet.Razor.Runtime,y,y
Microsoft.AspNet.Routing,y,y
Microsoft.AspNet.Server.IIS,y,y
Microsoft.AspNet.Server.Kestrel,y,y
Microsoft.AspNet.Server.Testing,n,n
Microsoft.AspNet.Server.WebListener,y,y
Microsoft.AspNet.Session,y,y
Microsoft.AspNet.SignalR.Client.Cpp.v120.WinDesktop,n,n
Microsoft.AspNet.SignalR.Messaging,n,n
Microsoft.AspNet.SignalR.Redis,n,n
Microsoft.AspNet.SignalR.Server,n,n
Microsoft.AspNet.SignalR.Sources,n,n
Microsoft.AspNet.SignalR.SqlServer,n,n
Microsoft.AspNet.StaticFiles,y,y
Microsoft.AspNet.TestHost,y,y
Microsoft.AspNet.Testing,n,n
Microsoft.AspNet.Tooling.Razor,y,y
Microsoft.AspNet.WebSockets.Client,y,y
