Package,Upload,List
CoreCLR,n,n
CultureInfoGenerator,n,n
dnx.clr.managed,n,n
dnx.coreclr.managed,n,n
dnx.host,n,n
dnx-clr-win-x64,n,n
dnx-clr-win-x86,n,n
dnx-coreclr-darwin-x64,n,n
dnx-coreclr-linux-x64,n,n
dnx-coreclr-win-x64,n,n
dnx-coreclr-win-x86,n,n
dnx-mono,n,n
EntityFramework,n,n
EntityFramework.Commands,n,n
EntityFramework.Core,n,n
EntityFramework.Core.FunctionalTests,n,n
EntityFramework.InMemory,n,n
EntityFramework.Relational,n,n
EntityFramework.Relational.Design,n,n
EntityFramework.Relational.FunctionalTests,n,n
EntityFramework.Sqlite,n,n
EntityFramework.SqlServer,n,n
EntityFramework.SqlServer.Design,n,n
Kestrel,n,n
KoreBuild,n,n
Microsoft.AspNet.Antiforgery,n,n
Microsoft.AspNet.Authentication,n,n
Microsoft.AspNet.Authentication.Cookies,n,n
Microsoft.AspNet.Authentication.Facebook,n,n
Microsoft.AspNet.Authentication.Google,n,n
Microsoft.AspNet.Authentication.MicrosoftAccount,n,n
Microsoft.AspNet.Authentication.OAuth,n,n
Microsoft.AspNet.Authentication.OAuthBearer,n,n
Microsoft.AspNet.Authentication.OpenIdConnect,n,n
Microsoft.AspNet.Authentication.Twitter,n,n
Microsoft.AspNet.Authorization,n,n
Microsoft.AspNet.Cors,n,n
Microsoft.AspNet.Cors.Core,n,n
Microsoft.AspNet.Cryptography.Internal,n,n
Microsoft.AspNet.Cryptography.KeyDerivation,n,n
Microsoft.AspNet.DataProtection,n,n
Microsoft.AspNet.DataProtection.Abstractions,n,n
Microsoft.AspNet.DataProtection.Extensions,n,n
Microsoft.AspNet.DataProtection.Sources,n,n
Microsoft.AspNet.DataProtection.SystemWeb,n,n
Microsoft.AspNet.Diagnostics,n,n
Microsoft.AspNet.Diagnostics.Abstractions,n,n
Microsoft.AspNet.Diagnostics.Elm,n,n
Microsoft.AspNet.Diagnostics.Entity,n,n
Microsoft.DNXCore,y,y
Microsoft.AspNet.FeatureModel,n,n
Microsoft.AspNet.FileProviders.Abstractions,n,n
Microsoft.AspNet.FileProviders.Embedded,n,n
Microsoft.AspNet.FileProviders.Physical,n,n
Microsoft.AspNet.FileProviders.Sources,n,n
Microsoft.AspNet.Hosting,n,n
Microsoft.AspNet.Hosting.Abstractions,n,n
Microsoft.AspNet.Hosting.Server.Abstractions,n,n
Microsoft.AspNet.Http,n,n
Microsoft.AspNet.Http.Abstractions,n,n
Microsoft.AspNet.Http.Extensions,n,n
Microsoft.AspNet.Http.Features,n,n
Microsoft.AspNet.Identity,n,n
Microsoft.AspNet.Identity.EntityFramework,n,n
Microsoft.AspNet.JsonPatch,n,n
Microsoft.AspNet.Loader.IIS,n,n
Microsoft.AspNet.Loader.IIS.Interop,n,n
Microsoft.AspNet.Localization,n,n
Microsoft.AspNet.Mvc,n,n
Microsoft.AspNet.Mvc.Abstractions,n,n
Microsoft.AspNet.Mvc.ApiExplorer,n,n
Microsoft.AspNet.Mvc.Common,n,n
Microsoft.AspNet.Mvc.Core,n,n
Microsoft.AspNet.Mvc.Razor,n,n
Microsoft.AspNet.Mvc.Razor.Host,n,n
Microsoft.AspNet.Mvc.TagHelpers,n,n
Microsoft.AspNet.Mvc.WebApiCompatShim,n,n
Microsoft.AspNet.Mvc.Xml,n,n
Microsoft.AspNet.Owin,n,n
Microsoft.AspNet.PageExecutionInstrumentation.Interfaces,n,n
Microsoft.AspNet.Razor,n,n
Microsoft.AspNet.Razor.Runtime,n,n
Microsoft.AspNet.Routing,n,n
Microsoft.AspNet.Server.IIS,n,n
Microsoft.AspNet.Server.Kestrel,n,n
Microsoft.AspNet.Server.Testing,n,n
Microsoft.AspNet.Server.WebListener,n,n
Microsoft.AspNet.Session,n,n
Microsoft.AspNet.SignalR.Client.Cpp.v120.WinDesktop,n,n
Microsoft.AspNet.SignalR.Messaging,n,n
Microsoft.AspNet.SignalR.Redis,n,n
Microsoft.AspNet.SignalR.Server,n,n
Microsoft.AspNet.SignalR.Sources,n,n
Microsoft.AspNet.SignalR.SqlServer,n,n
Microsoft.AspNet.StaticFiles,n,n
Microsoft.AspNet.TestHost,n,n
Microsoft.AspNet.Testing,n,n
Microsoft.AspNet.Tooling.Razor,n,n
Microsoft.AspNet.WebSockets.Client,n,n
Microsoft.AspNet.WebSockets.Protocol,n,n
Microsoft.AspNet.WebSockets.Server,n,n
Microsoft.AspNet.WebUtilities,n,n
Microsoft.CodeAnalysis.Analyzers,y,y
Microsoft.CodeAnalysis.Common,y,y
Microsoft.CodeAnalysis.CSharp,y,y
Microsoft.CSharp,y,y
Microsoft.Data.Sqlite,y,y
Microsoft.DotNet.BuildTools.ApiTools,y,y
Microsoft.DotNet.BuildTools.CoreCLR,y,y
Microsoft.DotNet.CoreCLR,y,y
Microsoft.DotNet.TestHost,y,y
Microsoft.Framework.ActivatorUtilities.Sources,n,n
Microsoft.Framework.ApplicationHost,n,n
Microsoft.Framework.BufferEntryCollection.Sources,n,n
Microsoft.Framework.Caching.Abstractions,n,n
Microsoft.Framework.Caching.Memory,n,n
Microsoft.Framework.Caching.Redis,n,n
Microsoft.Framework.ClosedGenericMatcher.Sources,n,n
Microsoft.Framework.CodeGeneration,n,n
Microsoft.Framework.CodeGeneration.Core,n,n
Microsoft.Framework.CodeGeneration.EntityFramework,n,n
Microsoft.Framework.CodeGeneration.Sources,n,n
Microsoft.Framework.CodeGeneration.Templating,n,n
Microsoft.Framework.CodeGenerators.Mvc,n,n
Microsoft.Framework.CommandLineUtils.Sources,n,n
Microsoft.Framework.Configuration,n,n
Microsoft.Framework.Configuration.Abstractions,n,n
Microsoft.Framework.Configuration.Binder,n,n
Microsoft.Framework.Configuration.CommandLine,n,n
Microsoft.Framework.Configuration.EnvironmentVariables,n,n
Microsoft.Framework.Configuration.Ini,n,n
Microsoft.Framework.Configuration.Json,n,n
Microsoft.Framework.Configuration.UserSecrets,n,n
Microsoft.Framework.Configuration.Xml,n,n
Microsoft.Framework.CopyOnWriteDictionary.Sources,n,n
Microsoft.Framework.DependencyInjection,n,n
